First Author,Last Author,Title,Journal,ISSN,Yr of Publication,Yr of Retraction,Months to Retraction,PMID,Impact Factor,"5-year Impact Factor, year of publication; bold = 1-year IF; used 1999 IF for papers before 1999","Grant number(total grant size, #papers citing)","Grants, duplicates removed",Attributable $,"Attributable $, 2012 dollars","Total for all cited grants, non-duplicate grants","Total for all cited grants, non-duplicate grants, 2012 dollars","All NIH, all accounted for in ExPORTER?"
Baglia FA,Walsh PN,Prothrombin is a cofactor for the binding of factor XI to the platelet surface and for platelet-mediated factor XI activation by thrombin.,Biochemistry,0006-2960,1998,2007,117,9485373,3.249,4.493,"HL46213(7678684,77) HL56153(1034026,24) HL55407(262931,6) HL56914(5694995,49)","HL55407(262931,6)",302853.8066,426585.38,262931,370352.02,Y
Bais HP,Vivanco JM,Exudation of fluorescent beta-carbolines from Oxalis tuberosa L roots.,Phytochemistry,0031-9422,2002,2010,86,12409020,3.527,1.686,Colorado State University funding and NSF Career award,Colorado State University funding and NSF Career award,0,0,0,0,
Blocki FA,Pease LR,Induction of a gene expression program in dendritic cells with a cross-linking IgM antibody to the co-stimulatory molecule B7-DC.,FASEB J,0892-6638,2006,2010,43,17023390,6.34,6.721,article not available,article not available,0,0,0,0,
Bois PR,Grosveld GC,FOXO1a acts as a selective tumor suppressor in alveolar rhabdomyosarcoma,J Cell Biol,0021-9525,2005,2007,20,16157701,9.947,10.951,"CA71907(16385932,122) CA87952(2409942,8) CA96696(1201500,18) CA23099(35134740,606) CA21765(98184091,4553) the Van Vleet Foundation of Memphis, and the American Lebanese Syrian Associated Charities","CA71907(16385932,122) CA87952(2409942,8) CA96696(1201500,18) CA23099(35134740,606) CA21765(98184091,4553) the Van Vleet Foundation of Memphis, and the American Lebanese Syrian Associated Charities",581846.4895,684016.71,153316205,180237997,
Bonnefoi H,Iggo RD,Validation of gene signatures that predict the response of breast cancer to neoadjuvant chemotherapy: a substudy of the EORTC 10994/BIG 00-01 clinical trial.,Lancet Oncol,1470-2045,2007,2011,38,18024211,18.74,10.77,"Mostly Swiss sources, though NIH listed (no grant #s)","Mostly Swiss sources, though NIH listed (no grant #s)",0,0,0,0,
Brodie SJ,Corey L,HIV-specific cytotoxic T lymphocytes traffic to lymph nodes and localize at sites of HIV replication and cell death.,J Clin Invest,0021-9738,2000,2010,124,10811848,15.43,12.015,"AI36613(6113479,13) AI41535(11816687,48) AI30731(30384561,257) AI18029(648119,13)","AI36613(6113479,13) AI41535(11816687,48) AI30731(30384561,257) AI18029(648119,13)",884531.7661,1179344.87,48962846,65282089,Y
Brodie SJ,,Nonlymphoid reservoirs of HIV replication in children with chronic-progressive disease,J Leukoc Biol,0741-5400,2000,2008,90,10985251,4.73,4.342,"AI36613(6113479,13) AI41535(11816687,48) AI30731(30384561,257) AI18029(648119,13)",,884531.7661,1179344.87,0,0,Y
Bruns MB,Miller MW,Functional nerve growth factor and trkA autocrine/paracrine circuits in adult rat cortex are revealed by episodic ethanol exposure and withdrawal.,J Neurochem,0022-3042,2007,2012,60,17316397,4.201,4.561,"AA06916(4464770,80) AA07568(4736162,77) AA15245(90198,2) and Veteran's Affairs","AA06916(4464770,80) AA07568(4736162,77) AA15245(90198,2) and Veteran's Affairs",162417.2224,179847.88,9291130,10288256.61,
Chan SK,Struhl G,Evidence that Armadillo transduces wingless by mediating nuclear export or cytosolic activation of Pangolin,Cell,0092-8674,2002,2004,16,12408870,34.774,27.254,HHMI,HHMI,0,0,0,0,
Chandok MR,Klessig DF,Suppression of pathogen-inducible NO synthase (iNOS) activity in tomato increases susceptibility to Pseudomonas syringae,Proc Natl Acad Sci U S A,0027-8424,2004,2004,6,15146069,10.472,10.452,"GM067011(1076379,4) and NSF DBI-0116076 and Swedish Research Council","GM067011(1076379,4) and NSF DBI-0116076 and Swedish Research Council",269094.75,327064.8,1076379,1308259.19,
Chandok MR,Klessig DF,The pathogen-inducible nitric oxide synthase (iNOS) in plants is a variant of the P protein of the glycine decarboxylase complex,Cell,0092-8674,2003,2004,17,12757708,34.774,26.626,The Park and Triad Foundations and National Science Foundation grant MCB-0110404,The Park and Triad Foundations and National Science Foundation grant MCB-0110404,0,0,0,0,
Chang HS,Skinner MK,Transgenerational epigenetic imprinting of the male germline by endocrine disruptor exposure during gonadal sex determination,Endocrinology,0013-7227,2006,2009,30,16973722,4.62,5.236,NIH EHS grant # not indicated,NIH EHS grant # not indicated,0,0,0,0,
Chen H,Sperber K,Chronically HIV-1-infected monocytic cells induce apoptosis in cocultured T cells.,J Immunol,0022-1767,1998,2006,97,9780201,5.859,7.145,"R-29-256990(?,?) RR03037(37425076,516) Irma T. Hirschl Career Development Trust","R-29-256990(?,?) RR03037(37425076,516) Irma T. Hirschl Career Development Trust",72529.21705,102161.19,37425076,52715171,
Chen L,Woo SL,Site-specific transgene integration in the human genome catalyzed by phiBT1 phage integrase.,Hum Gene Ther,1043-0342,2008,2010,30,18067406,3.963,4.062,article not available,article not available,0,0,0,0,
Chen L,Woo SL,Correction in female PKU mice by repeated administration of mPAH cDNA using phiBT1 integration system.,Mol Ther,1525-0016,2007,2010,38,17637719,6.284,5.24,"""Partially supported"" by DK62972(1327843,1)","""Partially supported"" by DK62972(1327843,1)",1327843,1470347.47,1327843,1470347.47,
Chen L,Woo SL,Metabolic basis of sexual dimorphism in PKU mice after genome-targeted PAH gene therapy.,Mol Ther,1525-0016,2007,2010,42,17406346,6.284,5.24,no grants cited,no grants cited,0,0,0,0,
Chen L,Woo SL,Complete and persistent phenotypic correction of phenylketonuria in mice by site-specific genome integration of murine phenylalanine hydroxylase cDNA.,Proc Natl Acad Sci U S A,0027-8424,2005,2010,58,16230623,10.472,10.231,no grants cited,none cited,0,0,0,0,
Chu W,Raz E,DNA-PKcs is required for activation of innate immunity by immunostimulatory DNA,Cell,0092-8674,2000,2009,98,11136976,34.774,32.44,"AI40682(3617052,23) AI43477(892482,13) CA59609(?,1) and CA78497(753176,4) CA505159(?,?) Dynavax Technologies Corp, Cancer Research Institute Postdoctoral Fellowship, tobacco-related disease researhch program 9KT-00567, California Cancer Research Program","AI40682(3617052,23) AI43477(892482,13) CA59609(?,1) and CA78497(753176,4) CA505159(?,?) Dynavax Technologies Corp, Cancer Research Institute Postdoctoral Fellowship, tobacco-related disease researhch program 9KT-00567, California Cancer Research Program",414209.592,552265.02,5262710,7016763.3,
Constantoulakis P,Pavlakis GN,Inhibition of Rev-mediated HIV-1 expression by an RNA binding protein encoded by the interferon-inducible 9-27 gene.,Science,0036-8075,1993,1994,14,7680491,32.452,24.595,Unavailable,"no access to ""Science Classic""",0,0,0,0,
Contreras JL,Thomas JM,Tolerability and side effects of anti-CD3-immunotoxin in preclinical testing in kidney and pancreatic islet transplant recipients.,Transplantation,0041-1337,1999,2008,133,10440390,3.689,3.463,"AII22293 corrected to AI22293(2664733,54) AI39793(2117549,20) a Novartis CRADA, and JDF grant","AI39793(2117549,20) a Novartis CRADA, and JDF grant",155224.3574,213917.06,2117549,2918226.56,
Contreras JL,Thomas JM,Peritransplant tolerance induction with anti-CD3-immunotoxin: a matter of proinflammatory cytokine control.,Transplantation,0041-1337,1998,2008,118,9603161,3.689,3.463,"AII22293 corrected to AI22293(2664733,54) AI39793(2117549,20)",,155224.3574,218641.61,0,0,Y
Cooper PK,Leadon SA,Defective transcription-coupled repair of oxidative base damage in Cockayne syndrome patients from XP group G.,Science,0036-8075,1997,2005,100,9020084,32.452,24.595,"CA63503(5219750,12) CA40453(1930115,17) DOE contract DE-AC03-76SF00098 and Swiss National Science Foundation (31-36482.92)",DOE contract DE-AC03-76SF00098 and Swiss National Science Foundation (31-36482.92),548515.3431,784646.92,0,0,
Cressman VL,Koller BH,"Growth retardation, DNA repair defects, and lack of spermatogenesis in BRCA1-deficient mice.",Mol Cell Biol,0270-7306,1999,2006,86,10490643,5.766,9.866,"CA70490(144500,4) CA58223(49231618,236) CA40453(1930115,17) and the Department of Defense USAMRMC grant DAMD17-97-1-7102","CA70490(144500,4) CA58223(49231618,236)and the Department of Defense USAMRMC grant DAMD17-97-1-7102",358269.7273,493736.98,49376118,68045981,
Crowther LJ,Donnenberg MS,The ATPase activity of BfpD is greatly enhanced by zinc and allosteric interactions with other Bfp proteins,J Biol Chem,0021-9258,2005,2009,48,15866879,5.117,5.854,"AI37606(3430690,32) AI22160(4425073,22) (J.A.T.) and a fellowship from The Canadian Institutes of Health Research and a fellowship from HFSP","AI37606(3430690,32) AI22160(4425073,22) (J.A.T.) and a fellowship from The Canadian Institutes of Health Research and a fellowship from HFSP",308348.7443,362493.71,7855763,9235207.63,
Das S,Das DK,"Cardioprotective effect of resveratrol via HO-1 expression involves p38 map kinase and PI-3-kinase signaling, but does not involve NFkappaB.",Free Radic Res,1071-5762,2006,2012,65,17015251,2.745,2.536,Unavailable,No access from Penn,0,0,0,0,
Deb K,Roberts RM,Cdx2 gene expression and trophectoderm lineage specification in mouse embryos,Science,0036-8075,2006,2007,17,16484492,32.452,30.028,"HD21896(4387176,84) HD42201(1505843,16) RR13438(2808762,72)","HD21896(4387176,84) HD42201(1505843,16) RR13438(2808762,72)",185354.0565,211092.16,8701781,9910102.71,Y
Deschenes LA,Vanden Bout DA,Single-molecule studies of heterogeneous dynamics in polymer melts near the glass transition,Science,0036-8075,2001,2006,60,11303094,32.452,23.329,Research corporation and Henry Dreyfuss Foundation,Research corporation and Henry Dreyfuss Foundation,0,0,0,0,
Dhillon HS,Prasad RM,Kynurenate attenuates the accumulation of diacylglycerol and free fatty acids after experimental brain injury in the rat.,Brain Res,0006-8993,1999,2003,45,10375646,2.739,2.302,"NS34264(994213,18) and Surgery Dept. UKentucky","NS34264(994213,18) and Surgery Dept. UKentucky",55234.05556,76118.9,994213,1370140.09,
Doree SM,"Mulks,MH",Identification of an Actinobacillus pleuropneumoniae consensus promoter structure,J Bacteriol,0021-9193,2001,2003,29,11222596,3.924,3.984,USDA CSREES grant 98-02202,USDA CSREES grant 98-02202,0,0,0,0,
Doughan DI,Komanduri R,Theoretical investigation of the dissociation dynamics of vibrationally excited vinyl bromide on an ab initio potential-energy surface obtained using modified novelty sampling and feed-forward neural networks,J Chem Phys,0021-9606,2006,2006,6,16468883,3.238,3.166,NSF and DoD,NSF and DoD,0,0,0,0,
Dressman HK,Lancaster JM,An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer.,J Clin Oncol,0732-183X,2007,2012,60,17290060,16.76,13.753,"Supported by the Ovarian Cancer Research Fund, Gynecologic Cancer Foundation's Molly Cade Ovarian Cancer Award, Hearing the Ovarian Cancer Whisper Organization, and the Jacquie Liggett Fellowship in Ovarian Cancer Research.","Supported by the Ovarian Cancer Research Fund, Gynecologic Cancer Foundation's Molly Cade Ovarian Cancer Award, Hearing the Ovarian Cancer Whisper Organization, and the Jacquie Liggett Fellowship in Ovarian Cancer Research.",0,0,0,0,
Duan L,Pomerantz RJ,Potent inhibition of human immunodeficiency virus type 1 replication by an intracellular anti-Rev single-chain antibody.,Proc Natl Acad Sci U S A,0027-8424,1994,1998,51,8197188,10.472,10.26,"in part by AI31836(636585,26) and W. W. Smith Charitable Trust and a grant from American Biotechnologies","in part by AI31836(636585,26) and W. W. Smith Charitable Trust and a grant from American Biotechnologies",24484.03846,37931.1,636585,986208.48,
Dudley JI,Das DK,"Does white wine qualify for French paradox? Comparison of the cardioprotective effects of red and white wines and their constituents: resveratrol, tyrosol, and hydroxytyrosol.",J Agric Food Chem,0021-8561,2008,2012,41,18821770,3.239,3.165,"""in part by"" HL22559(4578375,208) HL33889(?,163) HL69910(3378343,47)","""in part by""",93891.05657,100123.19,0,0,
Essner R,,Experimental frontiers for clinical applications: novel approaches to understanding mechanisms of lymph node metastases in melanoma,Cancer Metastasis Rev,0167-7659,2006,2008,27,16770538,10.339,6.115,Review,Review,0,0,0,0,
Fogel RB,White DP,Anatomic and physiologic predictors of apnea severity in morbidly obese subjects,Sleep,0161-8105,2003,2009,73,12683472,5.051,3.547,"RR02635(76589505,547) HL60292(17660429,79) HL48531(4836153,66) HL04400(669600,7) the Pickwick Fellowship from the National Sleep Foundation and grants from the Medical Research Council of Canada and the American Heart Association","RR02635(76589505,547) HL60292(17660429,79) HL48531(4836153,66) HL04400(669600,7) the Pickwick Fellowship from the National Sleep Foundation and grants from the Medical Research Council of Canada and the American Heart Association",532499.2991,664449.15,99755687,124474496,
Freschi SA,Dodson N,Analysis of compression forces between varying sizes of cannulated screws versus rail external fixation for treatment of Jones type fifth metatarsal fracture.,J Foot Ankle Surg,not found,2008,2009,14,18590891,0.516,not found,Unavailable,article not available,0,0,0,0,
Friedman AJ,Thomas PP,Does low-dose combination oral contraceptive use affect uterine size or menstrual flow in premenopausal women with leiomyomas?,Obstet Gynecol,0029-7844,1995,1995,7,7898846,4.718,2.122,"""In part by"" RR02635-01(76648905,548)","""In part by""",139870.2646,210717.67,0,0,
Friedman AJ,Hornstein MD,"Gonadotropin-releasing hormone agonist plus estrogen-progestin add-back"" therapy for endometriosis-related pelvic pain.""",Fertil Steril,0015-0282,1993,1996,29,8339817,3.84,2.955,Unavailable,not available online,0,0,0,0,
Garey CE,Seyfried TN,Ceruloplasmin gene defect associated with epilepsy in EL mice.,Nat Genet,1061-4036,1994,1995,17,7914452,33.096,30.693,"NS23355(601181,14) and Boston College","NS23355(601181,14) and Boston College",42941.5,66525.71,601181,931359.99,
Garman KS,Potti A,A genomic approach to colon cancer risk stratification yields biologic insights into therapeutic opportunities.,Proc Natl Acad Sci U S A,0027-8424,2008,2011,30,19050079,10.472,10.228,"internal NIH, and grants not indicated","internal NIH, and grants not indicated",0,0,0,0,
Gelband CH,Raizada MK,"Angiotensin I-converting enzyme antisense prevents altered renal vascular reactivity, but not high blood pressure, in spontaneously hypertensive rats",Hypertension,0194-911X,2000,2002,33,10642299,6.643,5.311,"HL52189(927423,25) HL56921(9953331,57) and a grant-in-aid from the American Heart Association, Florida affiliate","HL52189(927423,25) HL56921(9953331,57) and a grant-in-aid from the American Heart Association, Florida affiliate",211716.7621,282281.64,10880754,14507293,
Gelband CH,Raizada MK,Angiotensin II type 1 receptor antisense gene therapy prevents altered renal vascular calcium homeostasis in hypertension.,Hypertension,0194-911X,1999,2004,61,9931130,6.643,4.913,"HL52189(927423,25) HL56921(9953331,57) the Council for Tobacco Research, and the American Heart Association, Florida Affiliate","the Council for Tobacco Research, and the American Heart Association, Florida Affiliate",211716.7621,291770.09,0,0,
Gelband CH,Hume JR,[Ca2+]i inhibition of K+ channels in canine renal artery. Novel mechanism for agonist-induced membrane depolarization.,Circ Res,0009-7330,1995,2004,102,7788870,10.037,8.281,"HL49254(4362512,38) HL08531(58500,3) DK41315(27047720,283)","HL49254(4362512,38) HL08531(58500,3) DK41315(27047720,283)",229877.9297,346316.23,31468732,47408347,Y
Geraghty MT,Gould SJ,Detecting patterns of protein distribution and gene expression in silico.,Proc Natl Acad Sci U S A,0027-8424,1999,2005,70,10077615,10.472,10.26,"DK45787(6308026,44) and institutional from Hopkins Pediatrics Dept.","DK45787(6308026,44) and institutional from Hopkins Pediatrics Dept.",143364.2273,197572.43,6308026,8693186.8,
Ghatnekar GS,Smoak IW,Hypoglycemia induced changes in cell death and cell proliferation in the organogenesis stage embryonic mouse heart,Birth Defects Res A Clin Mol Teratol,1542-0752,2004,2006,25,15039926,2.738,0.91,"HL60752(908584,4) and American Heart Association","HL60752(908584,4) and American Heart Association",227146,276079.19,908584,1104316.75,
Gilligan DM,Wooden JM,Comparative proteomics reveals deficiency of NHE-1 (Slc9a1) in RBCs from the beta-adducin knockout mouse model of hemolytic anemia.,Blood Cells Mol Dis,1079-9796,2011,2012,6,21592827,2.361,2.361,"5F32HL079771-02(172608,1) P41RR011823(29168026,493) R01DK069386(2071680,26) T32HG00035(13454387,123)","5F32HL079771-02(172608,1) P41RR011823(29168026,493) R01DK069386(2071680,26) T32HG00035(13454387,123)",420837.6131,429546.63,44866701,47286768,Y
Gold JE,Osband ME,Autolymphocyte therapy. III. Effective adjuvant adoptive cellular therapy with in vivo anti-tumor specificity against murine melanoma and carcinoma using ex-vivo-activated memory T-lymphocytes.,J Surg Res,0022-4804,1995,1998,30,7543632,2.202,1.429,Grants from Cellcor and the Jennifer Turner Cancer Research Foundation,Grants from Cellcor and the Jennifer Turner Cancer Research Foundation,0,0,0,0,
Gold JE,Osband ME,Autolymphocyte therapy--I. In vivo tumour-specific adoptive cellular therapy of murine melanoma and carcinoma using ex vivo activated memory T-lymphocytes.,Eur J Cancer,0959-8049,1994,1998,42,7880620,4.781,2.537,Unavailable,not available online,0,0,0,0,
Gold JE,Osband ME,Adoptively transferred ex vivo activated memory T cells with cyclophosphamide: effective tumor-specific chemoimmunotherapy of advanced metastatic murine melanoma and carcinoma.,Clin Immunol Immunopathol,,1994,1998,44,7923908,3.893,,Cellcor and the Jennifer Turner Cancer Research Foundation,Cellcor and the Jennifer Turner Cancer Research Foundation,0,0,0,0,
Gold JE,Osband ME,Autolymphocyte therapy. II. Dependence of in vivo anti-tumor specificity and long-term immunity against murine melanoma and carcinoma on ex vivo activated donor memory T-cells.,Clin Immunol Immunopathol,,1994,1998,48,7911078,3.893,,Cellcor and the Jennifer Turner Cancer Research Foundation,Cellcor and the Jennifer Turner Cancer Research Foundation,0,0,0,0,
Goodwill MH,Seegal RF,Polychlorinated biphenyls induce proinflammatory cytokine release and dopaminergic dysfunction: protection in interleukin-6 knockout mice,J Neuroimmunol,0165-5728,2007,2008,16,17229471,3.024,2.973,"5R21ES013269-02(352608,?)","5R21ES013269-02(352608,?)",0,0,352608,390449.99,
Gowen LC,Leadon SA,BRCA1 required for transcription-coupled repair of oxidative DNA damage.,Science,0036-8075,1998,2003,58,9703501,32.452,24.595,"CA70490(144500,4) CA58223(45890117,236) CA40453(1930115,17)",,344110.8248,484698.03,0,0,Y
Greger JG,Cheskis BJ,Phosphorylation of MNAR promotes estrogen activation of phosphatidylinositol 3-kinase.,Mol Cell Biol,0270-7306,2007,2010,36,17194752,5.766,6.825,no grants cited,no grants cited,0,0,0,0,
Gu P,Cooney AJ,Differential recruitment of methylated CpG binding domains by the orphan receptor GCNF initiates the repression and silencing of Oct4 expression,Mol Cell Biol,0270-7306,2006,2009,28,17030610,5.766,6.773,"DK073524-01(877404,5) HD07165(5878504,60)","DK073524-01(877404,5) HD07165(5878504,60)",273455.8667,311427.71,6755908,7694027.49,Y
Guilleminault C,Li K,Orthodontic expansion treatment and adenotonsillectomy in the treatment of obstructive sleep apnea in prepubertal children.,Sleep,0161-8105,2008,2010,18,18652090,5.051,5.236,no grants cited,no grants listed,0,0,0,0,
Gupta A,Fraser NW,Anti-apoptotic function of a microRNA encoded by the HSV-1 latency-associated transcript,Nature,0028-0836,2006,2008,18,16738545,36.235,26.681,NIH grant not specified; NSF training grant not specified,NIH grant not specified; NSF training grant not specified,0,0,0,0,
Hajra A,Collins FS,Overexpression of core-binding factor alpha (CBF alpha) reverses cellular transformation by the CBF beta-smooth muscle myosin heavy chain chimeric oncoprotein.,Mol Cell Biol,0270-7306,1995,1996,15,7651416,5.766,9.866,"""a portion of this work supported by"" CA58343-01(4572992,30)","""a portion of this work supported by"" CA58343-01(4572992,30)",152433.0667,229643.82,4572992,6889314.47,
Hajra A,Collins FS,Structure of the leukemia-associated human CBFB gene.,Genomics,0888-7543,1995,1996,19,7607682,2.958,3.386,no grants cited,no grants cited,0,0,0,0,
Hajra A,Collins FS,The leukemic core binding factor beta-smooth muscle myosin heavy chain (CBF beta-SMMHC) chimeric protein requires both CBF beta and myosin heavy chain domains for transformation of NIH 3T3 cells.,Proc Natl Acad Sci U S A,0027-8424,1995,1996,21,7892201,10.472,10.26,"CA58343-01(4572992,30)",,152433.0667,229643.82,0,0,Y
Handa A,Brown KE,GB virus C/hepatitis G virus replicates in human haematopoietic cells and vascular endothelial cells,J Gen Virol,0022-1317,2000,2001,13,10993934,3.334,3.126,no grants cited,no grants cited,0,0,0,0,
Hard BM,Tversky B,Hierarchical encoding of behavior: translating perception into action,J Exp Psychol Gen,not found,2006,2008,24,17087575,6.098,not found,Office of Naval Research N000140210534 and N000140110717,Office of Naval Research N000140210534 and N000140110717,0,0,0,0,
Hauser MD,Marcus G,Rule learning by cotton-top tamarins.,Cognition,not found,2002,2010,95,12208654,4.16,not found,"RR00168-37(202068834,798) Mind, Brain and Behavior program at Harvard and the National Science Foundation and NIH grants not specified","RR00168-37(202068834,798) Mind, Brain and Behavior program at Harvard and the National Science Foundation and NIH grants not specified",253219.0902,323166.11,202068834,257886558,
Hennein HA,Gold JP,Venovenous modified ultrafiltration after cardiopulmonary bypass in children: a prospective randomized study.,J Thorac Cardiovasc Surg,0022-5223,2009,2010,12,10047653,3.52,3.431,"Appears article was published in 1999, retracted in 2000?","Appears article was published in 1999, retracted in 2000?",0,0,0,0,
Hoffmann B,Morris NR,The LIS1-related protein NUDF of Aspergillus nidulans and its interaction partner NUDE bind directly to specific subunits of dynein and dynactin and to alpha- and gamma-tubulin,J Biol Chem,0021-9258,2001,2004,27,11509576,5.117,7.258,"GM52309(2585091,14) and by the Deutsche Forschungsgemeinschaft","GM52309(2585091,14) and by the Deutsche Forschungsgemeinschaft",184649.3571,239381.06,2585091,3351334.74,
Horvath EM,Elmendorf JS,A novel membrane-based anti-diabetic action of atorvastatin.,Biochem Biophys Res Commun,0006-291X,2008,2010,26,18514061,2.523,2.823,no grants cited,no grants listed,0,0,0,0,
Horvath EM,Elmendorf JS,Antidiabetogenic effects of chromium mitigate hyperinsulinemia-induced cellular insulin resistance via correction of plasma membrane cholesterol imbalance.,Mol Endocrinol,0888-8809,2008,2010,26,18165437,4.816,5.432,"R01AT001846(1414226,18) F31AT003977(104982,3), American Diabetes Association Research Award 7-05-RA-37, American Heart Association Midwest predoctoral fellowship 0615574Z","R01AT001846(1414226,18) F31AT003977(104982,3), American Diabetes Association Research Award 7-05-RA-37, American Heart Association Midwest predoctoral fellowship 0615574Z",113562.1111,121099.93,1519208,1620047.29,
Hsu DS,Potti A,Pharmacogenomic strategies provide a rational approach to the treatment of cisplatin-resistant patients with advanced cancer.,J Clin Oncol,0732-183X,2007,2010,38,17906199,16.76,13.753,no grants cited,no grants cited,0,0,0,0,
Huang CF,Schmidt J,"Depolarization-transcription signals in skeletal muscle use calcium flux through L channels, but bypass the sarcoplasmic reticulum.",Neuron,0896-6273,1994,1998,47,8043275,15.71,16.782,"in part by NS20233(2608027,11) and grant from the Muscular Dystrophy Assoc","in part by NS20233(2608027,11) and grant from the Muscular Dystrophy Assoc",237093.3636,367309.13,2608027,4040400.48,
Hutchings A,Thomas JM,The immune decision toward allograft tolerance in non-human primates requires early inhibition of innate immunity and induction of immune regulation,Transpl Immunol,0966-3274,2003,2009,70,12967786,1.649,1.075,"DK57958(13694133,26)",,526697.4231,657209.61,0,0,Y
Hutchings A,Thomas JM,Transplantation: tolerance.,Curr Opin Investig Drugs,not found,2003,2009,75,12833645,2.939,not found,Unavailable,cannot locate article text,0,0,0,0,
Hutchings A,Thomas JM,STEALTH in transplantation tolerance,Immunol Res,0257-277X,2002,2008,72,12403353,3.167,2.391,NIAID and NIDDK grants not specified,NIAID and NIDDK grants not specified,0,0,0,0,
Jayachandra S,Moore PS,"Three unrelated viral transforming proteins (vIRF, EBNA2, and E1A) induce the MYC oncogene through the interferon-responsive PRF element by using different transcription coadaptors.",Proc Natl Acad Sci U S A,0027-8424,1999,2001,25,10500217,10.472,10.26,"CA67391(4105161,24) CA76586(1190756,7)","CA67391(4105161,24) CA76586(1190756,7)",341156.375,470152.81,5295917,7298383.96,Y
